City,Cloudiness,Country,Date,Humidity,Lat,Long,Max_Temp,Wind Speed
Maple Creek,78,CA,1555677636,58,49.91,-109.46,12.58,9.3
Nyurba,100,RU,1555677638,72,63.29,118.35,-2.23,4.83
Hay River,20,CA,1555675200,92,60.82,-115.79,-4.0,1.0
Karasjok,0,NO,1555676400,42,69.47,25.52,9.0,7.7
Lazaro Cardenas,27,MX,1555677593,40,28.39,-105.62,12.78,1.39
Najran,40,SA,1555675200,20,17.54,44.22,37.0,2.1
Kruisfontein,74,ZA,1555677649,15,-34.0,24.73,31.78,2.26
Gimli,12,CA,1555677606,86,50.63,-96.99,3.89,2.68
Puksoozero,94,RU,1555677653,82,62.59,40.61,7.58,3.0
Kattivakkam,40,IN,1555675200,66,13.22,80.32,33.0,4.1
Turkan,33,AF,1555677659,25,35.6,68.92,17.48,1.23
Byron Bay,75,AU,1555677617,94,-28.65,153.62,23.33,1.79
Mantena,98,BR,1555677663,88,-18.78,-40.98,23.58,1.96
Grootfontein,20,NA,1555675200,16,-19.56,18.1,31.0,3.1
Pangkalanbuun,100,ID,1555677666,93,-2.68,111.62,25.18,0.75
Santa Lucia,20,IT,1555677596,72,39.93,9.66,19.0,3.1
Dhar,40,IN,1555675200,28,22.6,75.31,34.0,2.1
Rumoi,0,JP,1555677673,54,43.93,141.67,5.88,7.07
Cartagena,20,ES,1555677588,93,37.63,-1.0,14.44,2.6
Yanam,40,IN,1555677000,46,16.73,82.22,34.0,4.6
Menongue,93,AO,1555677679,43,-14.66,17.68,28.58,1.86
Kirakira,100,SB,1555677681,82,-10.46,161.92,26.98,2.25
Antalaha,44,MG,1555677683,91,-14.9,50.28,25.68,1.51
Mulchen,0,CL,1555677696,87,-37.72,-72.23,11.08,0.65
Kalevala,46,FI,1555677698,63,64.12,29.58,7.68,4.9
Saint-Augustin,0,FR,1555677590,35,44.83,-0.61,25.0,10.8
Beya,6,RU,1555677702,47,53.05,90.92,0.48,1.69
Manzanillo,0,CU,1555677704,80,20.34,-77.12,25.08,4.2
Umm Lajj,0,SA,1555677708,62,25.02,37.27,23.58,8.96
Oakdale,5,US,1555677900,100,44.96,-92.97,5.56,1.77
Taonan,16,CN,1555677601,94,45.34,122.78,10.56,4.46
Constantine,0,DZ,1555675200,44,36.36,6.61,25.0,6.7
Johnshaven,95,GB,1555677507,51,56.79,-2.34,18.89,6.7
Japura,72,ID,1555677720,75,-0.42,102.29,27.88,1.27
Dasoguz,0,TM,1555675200,54,41.84,59.97,12.0,4.1
Ko Samui,20,TH,1555677000,74,9.54,99.94,31.0,2.1
Lewisburg,1,US,1555677509,68,40.96,-76.88,20.56,5.1
Ruiru,16,KE,1555677005,44,-1.16,36.96,23.33,2.24
Bergama,20,TR,1555676400,38,39.12,27.18,16.11,6.7
Kameoka,75,JP,1555677695,66,35.01,135.51,14.0,7.2
Halifax,90,CA,1555677315,100,44.65,-63.58,7.78,9.8
Petrolina,40,BR,1555675200,66,-9.38,-40.5,29.0,3.1
La Libertad,75,PE,1555675200,47,-16.38,-71.56,14.0,1.9
Natal,75,BR,1555675200,66,-5.81,-35.21,31.0,3.6
Luyang,0,CN,1555675200,64,31.88,117.26,20.0,4.0
Ovalle,100,CL,1555677637,96,-30.6,-71.2,14.28,0.36
Sao Felix do Xingu,81,BR,1555677758,88,-6.64,-51.99,25.88,0.9
Tigil,67,RU,1555677759,91,57.8,158.67,-0.23,0.31
Navahrudak,0,BY,1555677761,35,53.59,25.82,15.88,4.14
Bud,0,NO,1555677080,31,62.91,6.91,18.0,0.5
Nur,0,PL,1555677512,20,52.67,22.32,20.0,4.47
Gundlupet,40,IN,1555673400,36,11.81,76.69,34.0,2.6
San Rafael,6,AR,1555677502,51,-34.61,-68.33,18.68,2.42
Marsa Matruh,20,EG,1555675200,52,31.35,27.25,19.0,5.1
Kaeo,2,NZ,1555677485,91,-35.1,173.78,13.89,4.19
Itaituba,20,BR,1555675200,88,-4.26,-55.99,28.0,2.6
Port Hedland,13,AU,1555675200,74,-20.31,118.58,28.0,4.6
Rosarito,90,CO,1555675200,100,4.91,-75.23,22.0,1.5
Manacor,100,ES,1555677666,72,39.57,3.21,17.22,10.8
Dom Pedrito,11,BR,1555677791,85,-30.98,-54.67,17.88,1.94
Rabak,48,SD,1555677793,5,13.18,32.74,41.28,7.09
Requena,75,ES,1555677787,93,39.49,-1.1,15.0,10.8
Tamiahua,3,MX,1555677798,72,21.28,-97.45,22.88,3.02
Lagunas,93,PE,1555677802,96,-5.23,-75.68,23.08,0.42
Palmer,90,US,1555677801,92,61.6,-149.11,-0.57,5.7
Naryan-Mar,98,RU,1555677807,100,67.67,53.09,0.78,4.38
Vila,40,IT,1555677784,40,45.18,8.4,22.22,3.1
Great Yarmouth,0,GB,1555677778,52,52.61,1.73,21.67,5.1
Carutapera,94,BR,1555677812,91,-1.2,-46.02,26.18,3.3
Svetlogorsk,19,RU,1555675200,19,53.14,59.15,7.0,5.0
Qiqihar,0,CN,1555677818,19,47.35,123.91,9.88,5.73
Murgab,0,TM,1555675200,46,37.5,61.97,23.0,5.1
Tilichiki,85,RU,1555677820,89,60.47,166.1,-0.33,2.05
Soke,45,ML,1555677822,4,13.6,-5.94,41.58,6.44
Dawei,25,MM,1555677824,73,14.07,98.19,29.48,3.85
Neverkino,0,RU,1555677827,23,52.79,46.74,8.28,2.29
Vila Velha,75,BR,1555677635,83,-3.71,-38.6,28.33,1.5
Verkhnyaya Inta,100,RU,1555677831,88,65.99,60.32,0.28,3.68
Chalus,90,IR,1555675200,93,36.66,51.42,12.0,3.1
Tshikapa,84,CD,1555677844,33,-6.42,20.79,34.98,2.54
Acajutla,44,SV,1555677667,71,13.59,-89.83,28.08,2.73
Wangqing,0,CN,1555677850,30,43.31,129.76,3.98,1.46
Tezu,0,IN,1555677851,52,27.93,96.16,24.98,1.66
Ayan,100,TR,1555677853,86,40.67,33.6,0.98,4.25
Bilma,0,NE,1555677857,5,18.69,12.92,35.18,5.77
Paracuru,75,BR,1555677635,83,-3.41,-39.03,28.33,1.5
Sikasso,100,ML,1555677861,30,11.32,-5.68,37.68,3.36
Yaya,73,RU,1555677863,61,56.2,86.45,1.18,2.86
Praia da Vitoria,20,PT,1555677067,73,38.73,-27.07,21.0,3.42
Cayenne,52,GF,1555677000,94,4.94,-52.33,26.0,2.6
Erzin,75,TR,1555677567,62,36.95,36.2,16.11,6.2
Jamame,34,SO,1555677871,41,0.07,42.75,35.98,5.98
Adoni,51,IN,1555677873,14,15.63,77.27,39.58,1.95
Kargasok,94,RU,1555677876,77,59.06,80.87,2.78,3.21
Miles City,1,US,1555677733,75,46.41,-105.84,7.78,3.1
Dubrovnik,20,HR,1555677000,32,42.65,18.09,21.0,3.1
Langres,0,FR,1555677035,35,47.87,5.33,23.89,2.6
Santa Rosa,23,AR,1555677888,41,-36.62,-64.29,18.78,2.83
Kaitong,11,CN,1555677891,13,44.81,123.15,11.28,3.83
Uglovka,24,RU,1555677893,38,58.24,33.51,13.28,2.93
Waingapu,14,ID,1555677896,84,-9.65,120.26,23.98,4.07
Katangli,100,RU,1555677897,92,51.71,143.23,0.38,8.83
Warmbad,0,DE,1555677765,32,50.67,13.08,22.22,5.1
Moranbah,0,AU,1555677901,77,-22.0,148.04,20.78,4.32
Abha,40,SA,1555675200,38,18.22,42.5,27.0,5.1
Niksic,20,ME,1555677000,32,42.77,18.95,23.0,3.1
Golspie,0,GB,1555677906,52,57.97,-3.98,21.0,1.0
Beni Suef,0,EG,1555677910,25,29.07,31.1,25.98,6.08
Beringovskiy,74,RU,1555677912,77,63.05,179.32,-8.53,2.35
Koygorodok,98,RU,1555677914,71,60.44,51.01,5.28,2.69
Shieli,47,KZ,1555677918,37,44.18,66.74,17.78,9.24
Hirado,75,JP,1555677793,87,33.32,129.49,15.0,5.1
Weihai,10,CN,1555677637,71,37.5,122.11,10.56,1.45
Itoman,75,JP,1555677794,73,26.12,127.67,23.0,3.1
Ambanja,40,MG,1555675200,59,-13.68,48.45,33.0,2.1
Matara,75,PE,1555675200,70,-13.74,-72.9,8.0,1.05
Espanola,100,CA,1555677648,89,46.27,-81.77,3.33,5.36
Senanga,41,ZM,1555677941,43,-16.1,23.3,28.88,2.86
Makakilo City,1,US,1555677584,73,21.35,-158.09,24.0,2.1
Grand Gaube,40,MU,1555677841,62,-20.01,57.66,29.0,3.1
Lahij,18,YE,1555677950,45,13.06,44.88,33.08,6.05
Buala,100,SB,1555677952,84,-8.15,159.59,26.88,5.94
Boguchany,100,RU,1555677954,65,58.38,97.46,-4.03,6.91
Bermeo,0,ES,1555677917,56,43.42,-2.72,20.0,1.8
Udachnyy,90,RU,1555675200,33,66.42,112.4,-2.0,4.0
Yarmouth,0,GB,1555677956,33,50.71,-1.5,23.33,4.1
Kiruna,75,SE,1555676400,75,67.86,20.23,5.0,4.1
Puerto Escondido,40,MX,1555674060,69,15.86,-97.07,25.0,0.83
Zhigansk,0,RU,1555677973,85,66.77,123.37,-8.13,3.23
Atambua,14,ID,1555677975,68,-9.11,124.89,29.28,5.16
Huicungo,100,PE,1555677976,58,-7.28,-76.8,20.68,1.06
Kalyazin,25,RU,1555677979,37,57.24,37.84,10.18,1.92
Egersund,0,NO,1555677170,44,58.45,6.0,18.33,4.6
Karpogory,88,RU,1555677982,68,64.0,44.44,6.78,1.21
San Policarpo,0,PH,1555677984,72,12.18,125.51,27.28,2.87
Kuruman,0,ZA,1555677947,28,-27.46,23.43,31.11,0.89
Camacha,20,PT,1555675200,55,33.08,-16.33,19.0,7.7
Aklavik,90,CA,1555675440,78,68.22,-135.01,-12.0,2.1
Drumnadrochit,0,GB,1555677906,52,57.34,-4.48,21.0,1.0
Alta Floresta,20,BR,1555675200,88,-9.87,-56.08,27.0,1.08
Timizart,100,DZ,1555677734,75,36.8,4.25,13.33,0.89
Komsomolskiy,60,RU,1555678000,92,67.55,63.78,-6.13,3.9
Lesozavodsk,0,RU,1555678002,22,45.47,133.42,5.28,2.9
Salvador,40,BR,1555675200,79,-12.98,-38.48,29.0,3.1
Seydi,20,NE,1555675200,4,13.34,7.75,39.0,3.1
Morgan City,40,US,1555677984,81,29.7,-91.21,14.44,4.1
Makungu,91,TZ,1555678018,69,-8.74,35.29,22.38,3.87
Turukhansk,97,RU,1555678020,85,65.8,87.96,-9.13,3.62
Morros,75,BR,1555675200,88,-2.87,-44.04,27.0,4.6
Dicabisagan,43,PH,1555678026,75,17.08,122.42,26.78,2.2
Kahului,1,US,1555677940,73,20.89,-156.47,23.0,5.7
Mandalgovi,100,MN,1555678034,19,45.76,106.27,5.98,13.32
